STT,doc_id,so_hieu,loai_van_ban,tieu_de,nam_ban_hanh
0,1105,không số,luat,luật cải cách ruộng đất,1953
1,888,không số,luat,luật bầu cử đại biểu quốc hội,1959
2,887,không số,luat,luật hôn nhân và gia đình,1959
3,886,không số,luat,luật nghĩa vụ quân sự,1960
4,884,không số,luat,luật tổ chức hội đồng chính phủ,1960
5,883,không số,luat,luật tổ chức quốc hội,1960
6,882,không số,luat,luật tổ chức tòa án nhân dân,1960
7,881,không số,luat,luật tổ chức viện kiểm sát nhân dân,1960
8,1533,không số,luat,luật bầu cử đại biểu quốc hội,1980
9,3871,không số,luat,luật nghĩa vụ quân sự,1981
10,3483,không số,luat,luật bầu cử đại biểu hội đồng nhân dân,1983
11,3637,không số,luat,luật tổ chức hội đồng nhân dân và uỷ ban nhân dân,1983
12,2798,không số,luat,luật hôn nhân và gia đình,1986
13,2566,không số,luat,luật đất đai,1987
14,2565,không số,luat,luật đầu tư nước ngoài tại việt nam,1987
15,2564,không số,luat,luật thuế xuất khẩu thuế nhập khẩu hàng mậu dịch,1987
16,2558,không số,luat,luật quốc tịch việt nam,1988
17,2325,không số,luat,"luật sửa đổi, bổ sung luật tổ chức tòa án nhân dân",1988
18,2324,không số,luat,"luật sửa đổi, bổ sung luật tổ chức viện kiểm sát nhân dân",1988
19,1817,không số,luat,luật công ty,1990
20,1816,không số,luat,luật doanh nghiệp tư nhân,1990
21,1815,không số,luat,"luật sửa đổi, bổ sung một số điều của luật nghĩa vụ quân sự",1990
22,1814,không số,luat,"luật sửa đổi, bổ sung một số điều của luật về sỹ quan quân đội nhân dân việt nam",1990
23,11596,không số,luat,luật bảo vệ chăm sóc và giáo dục trẻ em,1991
24,11593,không số,luat,luật bảo vệ và phát triển rừng,1991
25,11595,không số,luat,luật phổ cập giáo dục tiểu học,1991
26,11594,không số,luat,"luật sửa đổi, bổ sung một số điều của bộ luật hình sự",1991
27,10822,không số,luat,"luật sửa đổi, bổ sung một số điều của bộ luật hình sự",1992
28,10821,không số,luat,"luật sửa đổi, bổ sung một số điều của bộ luật tố tụng hình sự",1992
29,10820,không số,luat,"luật sửa đổi, bổ sung một số điều của luật đầu tư nước ngoài tại việt nam",1992
30,11226,không số,luat,luật tổ chức chính phủ,1992
31,11225,không số,luat,luật tổ chức tòa án nhân dân,1992
32,11224,không số,luat,luật tổ chức viện kiểm sát nhân dân,1992
33,10435,không số,luat,luật bảo vệ môi trường,1993
34,10802,không số,luat,luật đất đai,1993
35,10434,không số,luat,luật phá sản doanh nghiệp,1993
36,10808,20-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật thuế doanh thu",1993
37,10807,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế lợi tức",1993
38,10806,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế tiêu thụ đặc biệt",1993
39,10805,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế xuất khẩu thuế nhập khẩu",1993
40,10433,29-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức tòa án nhân dân",1993
41,10803,không số,luat,luật thuế sử dụng đất nông nghiệp,1993
42,10804,không số,luat,luật xuất bản,1993
43,10426,35-l/ctn,luat,luật bầu cử đại biểu hội đồng nhân dân,1994
44,10425,không số,luat,luật khuyến khích đầu tư trong nước,1994
45,10422,không số,luat,"luật sửa đổi, bổ sung một số điều của luật nghĩa vụ quân sự",1994
46,10424,không số,luat,luật sửa đổi một số điều của luật công ty,1994
47,10423,không số,luat,luật sửa đổi một số điều của luật doanh nghiệp tư nhân,1994
48,10421,không số,luat,luật thuế chuyển quyền sử dụng đất,1994
49,10420,không số,luat,luật tổ chức hội đồng nhân dân và uỷ ban nhân dân,1994
50,9955,không số,luat,luật doanh nghiệp nhà nước,1995
51,9954,không số,luat,"luật sửa đổi, bổ sung một số điều của luật hàng không dân dụng việt nam",1995
52,9703,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế doanh thu",1995
53,9684,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế tiêu thụ đặc biệt",1995
54,9702,không số,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức tòa án nhân dân",1995
55,9028,không số,luat,luật ban hành văn bản quy phạm pháp luật,1996
56,9414,không số,luat,luật hợp tác xã,1996
57,9413,không số,luat,luật khoáng sản,1996
58,9412,không số,luat,luật ngân sách nhà nước,1996
59,30962,06/1997/qh10,luat,luật ngân sách nhà nước,1997
60,8611,không số,luat,luật bầu cử đại biểu quốc hội,1997
61,8205,02/1997/qh10,luat,luật các tổ chức tín dụng,1997
62,8222,01/1997/qh10,luat,luật ngân hàng nhà nước,1997
63,8533,không số,luat,"luật sửa đổi, bổ sung một số điều của bộ luật hình sự",1997
64,8534,không số,luat,luật thuế giá trị gia tăng,1997
65,8535,không số,luat,luật thuế thu nhập doanh nghiệp,1997
66,8532,không số,luat,luật thương mại,1997
67,7342,11/1998/qh10,luat,luật giáo dục,1998
68,7343,09/1998/qh10,luat,luật khiếu nại tố cáo,1998
69,7750,03/1998/qh10,luat,luật khuyến khích đầu tư trong nước (sửa đổi),1998
70,7754,07/1998/qh10,luat,luật quốc tịch việt nam,1998
71,7344,10/1998/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật đất đai",1998
72,7753,06/1998/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật ngân sách nhà nước",1998
73,7751,04/1998/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật thuế xuất khẩu thuế nhập khẩu",1998
74,7752,08/1998/qh10,luat,luật tài nguyên nước,1998
75,7755,05/1998/qh10,luat,luật thuế tiêu thụ đặc biệt,1998
76,7040,13/1999/qh10,luat,luật doanh nghiệp,1999
77,7041,14/1999/qh10,luat,luật mặt trận tổ quốc việt nam,1999
78,7039,12/1999/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật báo chí",1999
79,6155,17/1999/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật thuế chuyển quyền sử dụng đất",1999
80,6153,16/1999/qh10,luat,luật sỹ quan quân đội nhân dân việt nam,1999
81,6117,22/2000/qh10,luat,luật hôn nhân và gia đình,2000
82,6118,21/2000/qh10,luat,luật khoa học và công nghệ,2000
83,5748,24/2000/qh10,luat,luật kinh doanh bảo hiểm,2000
84,5740,23/2000/qh10,luat,luật phòng chống ma túy,2000
85,6140,20/2000/qh10,luat,"luật sửa đổi, bổ sung một số điều của bộ luật tố tụng hình sự",2000
86,6141,19/2000/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật dầu khí",2000
87,6147,18/2000/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật đầu tư nước ngoài tại việt nam",2000
88,23259,28/2001/qh10,luat,luật di sản văn hoá,2001
89,23289,26/2001/qh10,luat,luật giao thông đường bộ,2001
90,23258,29/2001/qh10,luat,luật hải quan,2001
91,23260,27/2001/qh10,luat,luật phòng cháy và chữa cháy,2001
92,22842,31/2001/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật bầu cử đại biểu quốc hội",2001
93,23290,25/2001/qh10,luat,"luật sửa đổi, bổ sung một số điều của luật đất đai",2001
94,22843,32/2001/qh10,luat,luật tổ chức chính phủ,2001
95,22840,30/2001/qh10,luat,luật tổ chức quốc hội,2001
96,18433,01/2002/qh11,luat,luật ngân sách nhà nước,2002
97,22507,35/2002/qh10,luat,"luật sửa đổi, bổ sung một số điều của bộ luật lao động",2002
98,21594,02/2002/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật ban hành văn bản quy phạm pháp luật",2002
99,22506,33/2002/qh10,luat,luật tổ chức tòa án nhân dân,2002
100,113148,33/2002/qh10,luat,luật tổ chức tòa án nhân dân năm 2002,2002
101,22392,34/2002/qh10,luat,luật tổ chức viện kiểm sát nhân dân,2002
102,19421,12/2003/qh11,luat,luật bầu cử đại biểu hội đồng nhân dân,2003
103,19423,06/2003/qh11,luat,luật biên giới quốc gia,2003
104,19419,13/2003/qh11,luat,luật đất đai,2003
105,19417,14/2003/qh11,luat,luật doanh nghiệp nhà nước,2003
106,21002,05/2003/qh11,luat,luật hoạt động giám sát của quốc hội,2003
107,19412,18/2003/qh11,luat,luật hợp tác xã,2003
108,20996,03/2003/qh11,luat,luật kế toán,2003
109,20998,10/2003/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật ngân hàng nhà nước việt nam",2003
110,20992,07/2003/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật thuế giá trị gia tăng",2003
111,20987,08/2003/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật thuế tiêu thụ đặc biệt",2003
112,19415,15/2003/qh11,luat,luật thi đua khen thưởng,2003
113,21004,04/2003/qh11,luat,luật thống kê,2003
114,20984,09/2003/qh11,luat,luật thuế thu nhập doanh nghiệp,2003
115,25193,17/2003/qh11,luat,luật thủy sản,2003
116,20068,11/2003/qh11,luat,luật tổ chức hội đồng nhân dân và uỷ ban nhân dân,2003
117,19414,16/2003/qh11,luat,luật xây dựng,2003
118,18562,32/2004/qh11,luat,luật an ninh quốc gia,2004
119,17855,31/2004/qh11,luat,luật ban hành văn bản quy phạm pháp luật,2004
120,19477,25/2004/qh11,luat,luật bảo vệ chăm sóc và giáo dục trẻ em,2004
121,18564,29/2004/qh11,luat,luật bảo vệ và phát triển rừng,2004
122,18566,27/2004/qh11,luat,luật cạnh tranh,2004
123,18565,28/2004/qh11,luat,luật điện lực,2004
124,19476,23/2004/qh11,luat,luật giao thông đường thủy nội địa,2004
125,19474,21/2004/qh11,luat,luật phá sản,2004
126,19471,20/2004/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật các tổ chức tín dụng",2004
127,19473,26/2004/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật khiếu nại tố cáo",2004
128,19470,22/2004/qh11,luat,luật thanh tra,2004
129,18563,30/2004/qh11,luat,luật xuất bản,2004
130,16729,52/2005/qh11,luat,luật bảo vệ môi trường,2005
131,16876,49/2005/qh11,luat,luật các công cụ chuyển nhượng,2005
132,16753,54/2005/qh11,luat,luật công an nhân dân,2005
133,16750,61/2005/qh11,luat,luật đấu thầu,2005
134,16718,59/2005/qh11,luat,luật đầu tư,2005
135,16726,60/2005/qh11,luat,luật doanh nghiệp,2005
136,18132,44/2005/qh11,luat,luật du lịch,2005
137,18127,34/2005/qh11,luat,luật dược,2005
138,18126,35/2005/qh11,luat,luật đường sắt,2005
139,17067,51/2005/qh11,luat,luật giao dịch điện tử,2005
140,18129,38/2005/qh11,luat,luật giáo dục,2005
141,18124,37/2005/qh11,luat,luật kiểm toán nhà nước,2005
142,18125,41/2005/qh11,luat,luật ký kết gia nhập và thực hiện điều ước quốc tế,2005
143,16755,56/2005/qh11,luat,luật nhà ở,2005
144,16872,55/2005/qh11,luat,luật phòng chống tham nhũng,2005
145,18130,39/2005/qh11,luat,luật quốc phòng,2005
146,16748,50/2005/qh11,luat,luật sở hữu trí tuệ,2005
147,18123,42/2005/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật hải quan",2005
148,16756,58/2005/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật khiếu nại tố cáo",2005
149,18134,46/2005/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật khoáng sản",2005
150,18122,43/2005/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật nghĩa vụ quân sự",2005
151,18135,47/2005/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật thi đua khen thưởng",2005
152,17065,57/2005/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật thuế tiêu thụ đặc biệt và luật thuế giá trị gia tăng",2005
153,17069,48/2005/qh11,luat,luật thực hành tiết kiệm chống lãng phí,2005
154,18133,45/2005/qh11,luat,luật thuế xuất khẩu thuế nhập khẩu,2005
155,26117,36/2005/qh11,luat,luật thương mại,2005
156,15057,71/2006/qh11,luat,luật bảo hiểm xã hội,2006
157,14838,73/2006/qh11,luat,luật bình đẳng giới,2006
158,15052,70/2006/qh11,luat,luật chứng khoán,2006
159,14830,80/2006/qh11,luat,luật chuyển giao công nghệ,2006
160,14916,82/2006/qh11,luat,luật công chứng,2006
161,15066,67/2006/qh11,luat,luật công nghệ thông tin,2006
162,14834,81/2006/qh11,luat,luật cư trú,2006
163,14835,76/2006/qh11,luat,luật dạy nghề,2006
164,14831,79/2006/qh11,luat,luật đê điều,2006
165,15082,62/2006/qh11,luat,luật điện ảnh,2006
166,15068,66/2006/qh11,luat,luật hàng không dân dụng việt nam,2006
167,14836,75/2006/qh11,luat,luật hiến lấy ghép mô bộ phận cơ thể người và hiến lấy xác,2006
168,15080,63/2006/qh11,luat,luật kinh doanh bất động sản,2006
169,80881,72/2006/qh11,luat,luật người lao động việt nam đi làm việc ở nước ngoài,2006
170,14276,72/2006/qh11,luat,luật người lao động việt nam đi làm việc ở nước ngoài theo hợp đồng,2006
171,15078,64/2006/qh11,luat,luật phòng chống nhiễm vi rút gây ra hội chứng suy giảm miễn dịch mắc phải ở người (hiv/aids),2006
172,14832,78/2006/qh11,luat,luật quản lý thuế,2006
173,15076,65/2006/qh11,luat,luật sư,2006
174,14837,74/2006/qh11,luat,"luật sửa đổi, bổ sung một số điều của bộ luật lao động",2006
175,14833,77/2006/qh11,luat,luật thể dục thể thao,2006
176,15062,68/2006/qh11,luat,luật tiêu chuẩn và quy chuẩn kỹ thuật,2006
177,15060,69/2006/qh11,luat,luật trợ giúp pháp lý,2006
178,12896,05/2007/qh12,luat,luật chất lượng sản phẩm hàng hoá,2007
179,12891,07/2007/qh12,luat,luật đặc xá,2007
180,24161,06/2007/qh12,luat,luật hóa chất,2007
181,12902,02/2007/qh12,luat,luật phòng chống bạo lực gia đình,2007
182,12900,03/2007/qh12,luat,luật phòng chống bệnh truyền nhiễm,2007
183,14456,84/2007/qh11,luat,"luật sửa đổi, bổ sung điều 73 của bộ luật lao động",2007
184,13639,01/2007/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật phòngchống tham nhũng",2007
185,14166,83/2007/qh11,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức quốc hội",2007
186,12898,04/2007/qh12,luat,luật thuế thu nhập cá nhân,2007
187,26995,08/2007/qh12,luat,luật tương trợ tư pháp,2007
188,12803,17/2008/qh12,luat,luật ban hành văn bản quy phạm pháp luật,2008
189,12326,25/2008/qh12,luat,luật bảo hiểm y tế,2008
190,12352,22/2008/qh12,luat,luật cán bộ công chức,2008
191,12354,21/2008/qh12,luat,luật công nghệ cao,2008
192,12356,20/2008/qh12,luat,luật đa dạng sinh học,2008
193,12333,23/2008/qh12,luat,luật giao thông đường bộ,2008
194,12808,11/2008/qh12,luat,luật hoạt động chữ thập đỏ,2008
195,12804,18/2008/qh12,luat,luật năng lượng nguyên tử,2008
196,12810,09/2008/qh12,luat,luật quản lý sử dụng tài sản nhà nước,2008
197,12331,24/2008/qh12,luat,luật quốc tịch việt nam,2008
198,12809,10/2008/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật dầu khí",2008
199,12802,16/2008/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật phòng chống ma túy",2008
200,12805,19/2008/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật sĩ quan quân đội nhân dân việt nam",2008
201,12801,12/2008/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật xuất bản",2008
202,12318,26/2008/qh12,luat,luật thi hành án dân sự,2008
203,12806,13/2008/qh12,luat,luật thuế giá trị gia tăng,2008
204,12807,14/2008/qh12,luat,luật thuế thu nhập doanh nghiệp,2008
205,12324,27/2008/qh12,luat,luật thuế tiêu thụ đặc biệt,2008
206,12811,15/2008/qh12,luat,luật trưng mua trưng dụng tài sản,2008
207,11747,33/2009/qh12,luat,luật cơ quan đại diện nước cộng hòa xã hội chủ nghĩa việt nam ở nước ngoài,2009
208,23777,43/2009/qh12,luat,luật dân quân tự vệ,2009
209,25170,40/2009/qh12,luat,luật khám bệnh chữa bệnh,2009
210,80765,40/2009/qh12,luat,luật khám chữa bệnh,2009
211,11761,28/2009/qh12,luat,luật lý lịch tư pháp,2009
212,25164,39/2009/qh12,luat,luật người cao tuổi,2009
213,11760,29/2009/qh12,luat,luật quản lý nợ công,2009
214,11757,30/2009/qh12,luat,luật quy hoạch đô thị,2009
215,11745,34/2009/qh12,luat,"luật sửa đổi, bổ sung điều 126 của luật nhà ở và điều 121 của luật đất đai",2009
216,11708,37/2009/qh12,luat,"luật sửa đổi, bổ sung một số điều của bộ luật hình sự",2009
217,11706,38/2009/qh12,luat,"luật sửa đổi, bổ sung một số điều của các luật liên quan đến đầu tư xây dựng cơ bản",2009
218,11750,32/2009/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật di sản văn hóa",2009
219,11752,31/2009/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật điện ảnh",2009
220,23779,44/2009/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật giáo dục",2009
221,11716,36/2009/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật sở hữu trí tuệ",2009
222,23856,42/2009/qh12,luat,luật tần số vô tuyến điện,2009
223,23778,45/2009/qh12,luat,luật thuế tài nguyên,2009
224,11743,35/2009/qh12,luat,luật trách nhiệm bồi thường của nhà nước,2009
225,23776,41/2009/qh12,luat,luật viễn thông,2009
226,25495,55/2010/qh12,luat,luật an toàn thực phẩm,2010
227,26356,59/2010/qh12,luat,luật bảo vệ quyền lợi người tiêu dùng,2010
228,25701,49/2010/qh12,luat,luật bưu chính,2010
229,25693,47/2010/qh12,luat,luật các tổ chức tín dụng,2010
230,26349,60/2010/qh12,luat,luật khoáng sản,2010
231,25692,46/2010/qh12,luat,luật ngân hàng nhà nước việt nam,2010
232,25702,51/2010/qh12,luat,luật người khuyết tật,2010
233,25699,52/2010/qh12,luat,luật nuôi con nuôi,2010
234,25703,50/2010/qh12,luat,luật sử dụng năng lượng tiết kiệm và hiệu quả,2010
235,26111,63/2010/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật bầu cử đại biểu quốc hội và luật bầu cử đại biểu hội đồng nhân dân",2010
236,26350,62/2010/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật chứng khoán",2010
237,26357,61/2010/qh12,luat,"luật sửa đổi, bổ sung một số điều của luật kinh doanh bảo hiểm",2010
238,26353,56/2010/qh12,luat,luật thanh tra,2010
239,25681,53/2010/qh12,luat,luật thi hành án hình sự,2010
240,26354,57/2010/qh12,luat,luật thuế bảo vệ môi trường,2010
241,25819,48/2010/qh12,luat,luật thuế sử dụng đất phi nông nghiệp,2010
242,26351,64/2010/qh12,luat,luật tố tụng hành chính,2010
243,25700,54/2010/qh12,luat,luật trọng tài thương mại,2010
244,26355,58/2010/qh12,luat,luật viên chức,2010
245,27327,05/2011/qh13,luat,luật cơ yếu,2011
246,27308,04/2011/qh13,luat,luật đo lường,2011
247,27325,02/2011/qh13,luat,luật khiếu nại,2011
248,26750,67/2011/qh12,luat,luật kiểm toán độc lập,2011
249,27323,01/2011/qh13,luat,luật lưu trữ,2011
250,26741,66/2011/qh12,luat,luật phòng chống mua bán người,2011
