STT,doc_id,so_hieu,loai_van_ban,tieu_de,nam_ban_hanh
507,999999999662829,99/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của bộ luật tố tụng hình sự",2025
508,175440,64/2025/qh15,luat,luật ban hành văn bản quy phạm pháp luật,2025
509,999999999662673,87/2025/qh15,luat,"luật sửa đổi, bổ sung một số điều của luật ban hành văn bản quy phạm pháp luật",2025
510,957,110-sl/l.12,luat,luật tổ chức chính quyền địa phương,1958
511,958,109-sl/l11,luat,luật quy định chế độ phục vụ của sỹ quan quân đội nhân dân việt nam,1958
512,1005,108-sl/l10,luat,luật công đoàn,1957
513,1012,004/slt,sacluat,sắc luật bầu cử hội đồng nhân dân và uỷ ban hành chính các cấp,1957
514,1016,003/slt,sacluat,sắc luật quyền tự do xuất bản,1957
515,1017,002/slt,sacluat,"sắc luật quy định những trường hợp phạm pháp quả tang, những trường hợp khẩn cấp và những trường hợp khám người phạm pháp quả tang",1957
516,1031,103-sl/l005,luat,"luật đảm bảo quyền tự do thân thể và quyền bất khả xâm phạm đối với nhà ở, đồ vật, thư tín của nhân dân",1957
517,1032,101-sl/l003,luat,luật quy định quyền tự do hội họp,1957
518,1034,001/slt,sacluat,sắc luật cấm chỉ mọi hành động đầu cơ về kinh tế,1957
519,1258,45/lct,luat,luật nghĩa vụ quân sự,1965
520,1339,50/lct,luat,luật nghĩa vụ quân sự,1962
521,1534,không số,hienphap,hiến pháp,1980
522,2064,270b-nq/hđnn8,luat,luật thuế tiêu thụ đặc biệt,1990
523,2067,41-lct/hđnn8,luat,luật đầu tư nước ngoài tại việt nam,1990
524,2068,39-lct/hđnn8,luat,bộ luật tố tụng hình sự,1990
525,2069,40-lct/hđnn8,luat,luật công đoàn,1990
526,2082,30-lct/hđnn8,luat,bộ luật hình sự,1989
527,2083,29-lct/hđnn8,luat,luật báo chí,1989
528,2313,19/lct/hđnn8,luat,luật tổ chức hội đồng nhân dân và uỷ ban nhân dân,1989
529,2314,20-lct/hđnn8,luat,luật bầu cử đại biểu hội đồng nhân dân,1989
530,2315,21-lct/hđnn8,luat,luật bảo vệ sức khỏe nhân dân,1989
531,3870,6-lct/hđnn7,luat,luật sỹ quan quân đội nhân dân,1981
532,4089,2-lct/hđnn7,luat,luật tổ chức hội đồng bộ trưởng,1981
533,4090,3-lct/hđnn7,luat,luật tổ chức viện kiểm sát nhân dân,1981
534,4091,3-lct/hđnn7,luat,luật tổ chức toà án nhân dân,1981
535,4092,1-lct/hđnn7,luat,luật tổ chức quốc hội và hội đồng nhà nước,1981
536,9027,52-l/ctn,luat,luật đầu tư nước ngoài tại việt nam,1996
537,10426,không số,luat,luật bầu cử đại biểu hội đồng nhân dân,1994
538,10433,không số,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức tòa án nhân dân",1993
539,10808,không số,luat,"luật sửa đổi, bổ sung một số điều của luật thuế doanh thu",1993
540,10809,18-l/ctn,luat,luật dầu khí,1993
541,11232,66-lct/hđnn8,luat,luật tổ chức quốc hội,1992
542,11233,67-lct/hđnn8,luat,luật bầu cử đại biểu quốc hội,1992
543,11237,64-ltc/hđnn8,luat,"luật thuế xuất khẩu, thuế nhập khẩu",1991
544,11238,63-lct/hđnn8,luat,luật hàng không dân dụng,1991
545,25506,không số,luat,luật bảo vệ sức khỏe nhân dân,1989
546,31076,58-lct/hđnn8,luat,luật bảo vệ và phát triển rừng,1991
547,107134,58-l/ctn,luat,luật thương mại,1997
548,113342,19/2012/qhh13,luat,luật xuất bản,2012
549,113665,53/2005/qh11,luat,luật thanh niên,2005
550,175363,65/2025/qh15,luat,luật tổ chức chính quyền địa phương,2025
551,999999999505750,51/2024/qh15,luat,luật bảo hiểm y tế sửa đổi 2024,2024
552,999999999171954,02/sl,sacluat,"sắc luật quy định việc bắt, giam, khám người, khám nhà ở, khám đồ vật",1976
553,999999999329011,03/2016/qh14,luat,luật sửa đổi phụ lục 4 danh mục ngành nghề đầu tư kinh doanh có điều kiện,2016
554,99999999946057,17-1999/qh10,luat,luật thuế chuyển quyền sử dụng đất,1999
555,99999999941102,07/1997/qh10,luat,luật về các tổ chức tín dụng,1997
556,99999999940644,57-l/ctn,luat,luật thuế thu nhập doanh nghiệp,1997
557,99999999940645,57/1997/l-ctn,luat,luật thuế giá trị gia tăng,1997
558,99999999940647,58/l-ctn,luat,luật thương mại,1997
559,99999999940541,56/1997/l-ctn,luat,luật bầu cử đại biểu quốc hội,1997
560,99999999939369,43-l/ctn,luat,luật thuế doanh thu sửa đổi,1995
561,99999999939370,43-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật tổ chức toà án nhân dân",1995
562,99999999939390,43-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật thuế tiêu thụ đặc biệt",1995
563,99999999938708,35-l/ctn,luat,luật thuế chuyển quyền sử dụng đất,1994
564,99999999938703,35-l/ctn,luat,luật bầu cử đại biểu hội đồng nhân dân,1994
565,99999999938709,35-l/ctn,luat,luật bầu cử đại biểu hội đồng nhân dân,1994
566,99999999938695,30-l/ctn,luat,luật phá sản doanh nghiệp,1993
567,99999999938480,23-l/ctn,luat,luật thuế sử dụng đất nông nghiệp,1993
568,99999999938479,22-l/ctn,luat,luật xuất bản,1993
569,99999999938476,19-l/ctn,luat,luật thuế lợi tức sửa đổi,1993
570,99999999938475,20-l/ctn,luat,luật thuế doanh thu sửa đổi,1993
571,99999999938478,17-l/ctn,luat,"luật thuế xuất khẩu, thuế nhập khẩu",1993
572,99999999938463,6-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật đầu tư nước ngoài tại việt nam",1992
573,99999999938477,21-l/ctn,luat,"luật sửa đổi, bổ sung một số điều của luật thuế tiêu thụ đặc biệt",1993
574,99999999938248,03-lctn,luat,luật tổ chức viện kiểm sát nhân dân,1992
